Biomarker,p-value,Bayes Factor,Odds Ratio
AUC for Cb (0-35min),0.10244,1.25,0.25
AUC for Cb (0-inf),0.0801,1.49,0.15
Body extraction fraction,0.43172,0.5,1.8
Cardiac output,0.19784,0.8,2.74
Heart-lung dispersion,0.26484,0.66,3.19
Heart-lung mean transit time,0.0332,2.82,0.04
Organs blood mean transit time,0.6258,0.42,0.5
Organs extraction fraction,0.10065,1.26,0.18
Organs extravascular mean transit time,0.29915,0.61,3.03
RE for R1b at 20min,0.01026,6.77,0.07
RE for Sb at 20min,0.32668,0.58,0.27
