Biomarker,p-value,Bayes Factor,Odds Ratio
AUC for Cl (0-35min),0.00081,47.12,131.03
AUC for Cl (0-inf),0.03317,2.82,10.52
Biliary excretion rate,0.02706,3.28,10.08
Biliary tissue excretion rate,0.05359,1.99,6.11
Extracellular dispersion,0.68617,0.4,1.26
Extracellular mean transit time,0.10081,1.26,0.14
Final biliary excretion rate,0.12814,1.07,2.92
Final hepatocellular uptake rate,0.00134,31.9,21.05
Hematocrit,,,
Hepatocellular mean transit time,0.12079,1.11,0.13
Hepatocellular tissue uptake rate,0.01588,4.88,33.04
Hepatocellular uptake rate,0.00069,53.2,81.22
Initial biliary excretion rate,0.02921,3.1,10.41
Initial hepatocellular uptake rate,0.00129,32.81,212.36
Liver T1-MOLLI at 45min,0.03842,2.53,0.07
Liver T1-MOLLI at baseline,0.27107,0.65,0.53
Liver T1-MOLLI at scan 2,0.97133,0.37,1.04
Liver blood clearance,0.01825,4.4,9.21
Liver extracellular volume fraction,0.26889,0.66,0.18
RE for R1l at 20min,0.00166,27.13,234.95
RE for Sl at 20min,0.00028,108.15,948.62
