Biomarker,Units,p-value,Bayes Factor,Power
Organs extraction fraction,%,0.03558,2.22,0.56
Organs extravascular mean transit time,min,0.09122,1.24,0.37
Heart-lung mean transit time,sec,0.12742,1.09,0.39
AUC for Cb (0-35min),mM*sec,0.46518,0.54,0.12
Body extraction fraction,%,0.50402,0.53,0.1
Organs blood mean transit time,sec,0.54587,0.51,0.08
AUC for Cb (0-inf),mM*sec,0.59529,0.5,0.08
RE for R1b at 20min,%,0.75914,0.46,0.06
RE for Sb at 20min,%,0.8456,0.46,0.05
Cardiac output,L/min,0.92609,0.45,0.05
Heart-lung dispersion,%,0.96182,0.45,0.05
