,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,BF10,odds-ratio,group,parameter,description
0,visit,control,drug,True,True,1.3724100343391272,5.0,two-sided,0.2283002377759766,0.726,1.5318479368621618,MRI - aorta,CO,Cardiac output
0,visit,control,drug,True,True,0.08800015156548806,5.0,two-sided,0.9332923926223715,0.374,1.1053276337662534,MRI - aorta,Thl,Heart-lung mean transit time
0,visit,control,drug,True,True,0.9534164551539442,5.0,two-sided,0.3841634162942007,0.53,2.741763527931608,MRI - aorta,Dhl,Heart-lung dispersion
0,visit,control,drug,True,True,1.1385059840611012,5.0,two-sided,0.30650192386981073,0.604,2.0949436839627307,MRI - aorta,To,Organs blood mean transit time
0,visit,control,drug,True,True,-2.0996612174185336,5.0,two-sided,0.08979184430975212,1.371,0.2824494544288292,MRI - aorta,Eo,Organs extraction fraction
0,visit,control,drug,True,True,2.600706855064301,5.0,two-sided,0.04820822635922674,2.145,8.418374413340414,MRI - aorta,Toe,Organs extravascular mean transit time
0,visit,control,drug,True,True,0.2427390260733585,5.0,two-sided,0.8178507611790045,0.383,1.3630340692404317,MRI - aorta,Eb,Body extraction fraction
0,visit,control,drug,True,True,-0.34407337999087645,5.0,two-sided,0.7447890756420136,0.392,0.7018113761519467,MRI - aorta,AUC_Cb,AUC for Cb (0-inf)
0,visit,control,drug,True,True,-1.1059339533082029,5.0,two-sided,0.31910673819453433,0.59,0.40329716058474563,MRI - aorta,AUC35_Cb,AUC for Cb (0-35min)
0,visit,control,drug,True,True,-0.6201473361047201,5.0,two-sided,0.562328279958463,0.436,0.5795377025806528,MRI - aorta,RE_R1b,RE for R1b at 20min
0,visit,control,drug,True,True,0.14195981937730587,5.0,two-sided,0.8926545151072268,0.376,1.152787745315939,MRI - aorta,RE_Sb,RE for Sb at 20min
0,visit,control,drug,True,True,,5.0,two-sided,,nan,,MRI - liver,H,Hematocrit
0,visit,control,drug,True,True,2.4860083983085484,5.0,two-sided,0.0554314292295963,1.938,10.598555699284399,MRI - liver,ve,Liver extracellular volume fraction
0,visit,control,drug,True,True,0.7686468318924667,5.0,two-sided,0.4768201223991068,0.472,2.4091556491073223,MRI - liver,Te,Extracellular mean transit time
0,visit,control,drug,True,True,1.3660101000213056,5.0,two-sided,0.23016955080085405,0.722,4.192569263491332,MRI - liver,De,Extracellular dispersion
0,visit,control,drug,True,True,0.566666596702245,5.0,two-sided,0.5954309769357198,0.425,1.7140105667376975,MRI - liver,khe_i,Initial hepatocellular uptake rate
0,visit,control,drug,True,True,0.4257989829365388,5.0,two-sided,0.6879609328942671,0.402,1.4390617760338826,MRI - liver,khe_f,Final hepatocellular uptake rate
0,visit,control,drug,True,True,-0.225845698703869,5.0,two-sided,0.8302629275692079,0.381,0.8987918447849819,MRI - liver,Th,Hepatocellular mean transit time
0,visit,control,drug,True,True,1.3041835123577736,5.0,two-sided,0.24897788568386175,0.687,2.0568023341497486,MRI - liver,khe,Hepatocellular uptake rate
0,visit,control,drug,True,True,0.31204565053534417,5.0,two-sided,0.7675990803458375,0.389,1.172651626999506,MRI - liver,Kbh,Biliary tissue excretion rate
0,visit,control,drug,True,True,-1.2496725872463876,5.0,two-sided,0.2667261849857396,0.658,0.2777864728015825,MRI - liver,Khe,Hepatocellular tissue uptake rate
0,visit,control,drug,True,True,-1.0229286731899692,5.0,two-sided,0.3532587229331045,0.555,0.6399534437285732,MRI - liver,kbh,Biliary excretion rate
0,visit,control,drug,True,True,0.19927315872947596,5.0,two-sided,0.849899353428604,0.379,1.1104644152364842,MRI - liver,kbh_i,Initial biliary excretion rate
0,visit,control,drug,True,True,-1.257688641011264,5.0,two-sided,0.2640457870285457,0.662,0.45436156151012763,MRI - liver,kbh_f,Final biliary excretion rate
0,visit,control,drug,True,True,1.3969282393316316,5.0,two-sided,0.22127012054524905,0.741,1.7803839168906352,MRI - liver,CL,Liver blood clearance
0,visit,control,drug,True,True,0.05894430075102658,5.0,two-sided,0.9552797693651205,0.374,1.0601137087438353,MRI - liver,AUC_Cl,AUC for Cl (0-inf)
0,visit,control,drug,True,True,-0.3115776258707076,5.0,two-sided,0.7679344631615808,0.389,0.7729507504075709,MRI - liver,AUC35_Cl,AUC for Cl (0-35min)
0,visit,control,drug,True,True,-0.1483711556219461,5.0,two-sided,0.8878479818691198,0.377,0.8913945346021784,MRI - liver,RE_R1l,RE for R1l at 20min
0,visit,control,drug,True,True,-0.5020482011134707,5.0,two-sided,0.6369563721938938,0.414,0.6861054994391232,MRI - liver,RE_Sl,RE for Sl at 20min
0,visit,control,drug,True,True,0.7826789525799632,5.0,two-sided,0.4692439813646915,0.476,1.9221778567095353,MRI - liver,T1_1,Liver T1-MOLLI at baseline
0,visit,control,drug,True,True,-0.7284845067421858,5.0,two-sided,0.49899085728509096,0.461,0.6452485854782625,MRI - liver,T1_2,Liver T1-MOLLI at 45min
0,visit,control,drug,True,True,0.9654337476684527,5.0,two-sided,0.37866792210997463,0.534,3.574930327721369,MRI - liver,T1_3,Liver T1-MOLLI at scan 2
