Biomarker,group,Units,visit,p-value,Bayes Factor,Power
Organs extravascular mean transit time,MRI - aorta,min,control,0.01543,3.82,0.61
Organs extraction fraction,MRI - aorta,%,drug,0.02729,2.66,0.58
RE for R1b at 20min,MRI - aorta,%,drug,0.06118,1.62,0.42
Body extraction fraction,MRI - aorta,%,drug,0.06201,1.71,0.54
RE for Sb at 20min,MRI - aorta,%,drug,0.10917,1.14,0.31
AUC for Cb (0-inf),MRI - aorta,mM*sec,drug,0.12406,1.04,0.3
AUC for Cb (0-35min),MRI - aorta,mM*sec,drug,0.14747,0.94,0.27
AUC for Cb (0-35min),MRI - aorta,mM*sec,control,0.15453,0.92,0.21
Cardiac output,MRI - aorta,L/min,control,0.22484,0.76,0.26
RE for R1b at 20min,MRI - aorta,%,control,0.23558,0.72,0.16
Heart-lung dispersion,MRI - aorta,%,control,0.27216,0.68,0.22
Cardiac output,MRI - aorta,L/min,drug,0.33945,0.63,0.19
Organs blood mean transit time,MRI - aorta,sec,control,0.40024,0.57,0.15
Body extraction fraction,MRI - aorta,%,control,0.41498,0.55,0.12
AUC for Cb (0-inf),MRI - aorta,mM*sec,control,0.53138,0.5,0.08
Organs extraction fraction,MRI - aorta,%,control,0.55645,0.49,0.08
Organs blood mean transit time,MRI - aorta,sec,drug,0.63242,0.49,0.07
RE for Sb at 20min,MRI - aorta,%,control,0.69357,0.46,0.06
Organs extravascular mean transit time,MRI - aorta,min,drug,0.78145,0.46,0.06
Heart-lung dispersion,MRI - aorta,%,drug,0.81322,0.46,0.06
Heart-lung mean transit time,MRI - aorta,sec,control,0.84566,0.44,0.05
Heart-lung mean transit time,MRI - aorta,sec,drug,0.90028,0.45,0.05
Liver T1-MOLLI at scan 2,MRI - liver,sec,drug,3e-05,650.24,1.0
RE for Sl at 20min,MRI - liver,%,drug,4e-05,156700.0,
RE for R1l at 20min,MRI - liver,%,drug,5e-05,169400.0,
AUC for Cl (0-35min),MRI - liver,mM*sec,drug,6e-05,118500.0,1.0
Initial hepatocellular uptake rate,MRI - liver,mL/min/100cm3,drug,6e-05,145700.0,1.0
Hepatocellular uptake rate,MRI - liver,mL/min/100cm3,drug,0.0001,58150.0,
Final hepatocellular uptake rate,MRI - liver,mL/min/100cm3,drug,0.00017,20790.0,
AUC for Cl (0-inf),MRI - liver,mM*sec,drug,0.00021,8393.48,
Hepatocellular uptake rate,MRI - liver,mL/min/100cm3,control,0.00034,302.74,1.0
Liver blood clearance,MRI - liver,L/min,drug,0.00106,711.92,1.0
Biliary tissue excretion rate,MRI - liver,mL/min/100cm3,drug,0.00189,43.13,1.0
Extracellular mean transit time,MRI - liver,sec,drug,0.00219,17.16,0.95
Liver T1-MOLLI at 45min,MRI - liver,sec,drug,0.00229,51.28,1.0
Liver blood clearance,MRI - liver,L/min,control,0.0035,77.29,1.0
Biliary excretion rate,MRI - liver,mL/min/100cm3,drug,0.00545,20.86,0.99
Hepatocellular mean transit time,MRI - liver,min,drug,0.01166,7.54,0.75
Final hepatocellular uptake rate,MRI - liver,mL/min/100cm3,control,0.02173,4.81,0.87
Final biliary excretion rate,MRI - liver,mL/min/100cm3,drug,0.03025,2.78,0.69
Liver T1-MOLLI at baseline,MRI - liver,sec,drug,0.0446,2.0,0.48
Extracellular mean transit time,MRI - liver,sec,control,0.04575,2.06,0.38
Liver extracellular volume fraction,MRI - liver,mL/100cm3,control,0.05762,1.68,0.35
Initial hepatocellular uptake rate,MRI - liver,mL/min/100cm3,control,0.07059,1.75,0.64
Hepatocellular tissue uptake rate,MRI - liver,mL/min/100cm3,drug,0.11287,1.35,0.54
Liver T1-MOLLI at baseline,MRI - liver,sec,control,0.13425,0.97,0.26
Liver extracellular volume fraction,MRI - liver,mL/100cm3,drug,0.22882,0.78,0.27
Hepatocellular mean transit time,MRI - liver,min,control,0.24708,0.71,0.15
Initial biliary excretion rate,MRI - liver,mL/min/100cm3,drug,0.25324,0.72,0.17
Biliary tissue excretion rate,MRI - liver,mL/min/100cm3,control,0.2742,0.68,0.2
Extracellular dispersion,MRI - liver,%,control,0.32457,0.62,0.12
Liver T1-MOLLI at 45min,MRI - liver,sec,control,0.3835,0.57,0.12
Hepatocellular tissue uptake rate,MRI - liver,mL/min/100cm3,control,0.39344,0.57,0.1
Extracellular dispersion,MRI - liver,%,drug,0.41888,0.57,0.15
Biliary excretion rate,MRI - liver,mL/min/100cm3,control,0.4813,0.52,0.11
Initial biliary excretion rate,MRI - liver,mL/min/100cm3,control,0.48333,0.52,0.12
RE for R1l at 20min,MRI - liver,%,control,0.53742,0.5,0.08
Final biliary excretion rate,MRI - liver,mL/min/100cm3,control,0.6057,0.48,0.07
RE for Sl at 20min,MRI - liver,%,control,0.7892,0.45,0.06
AUC for Cl (0-35min),MRI - liver,mM*sec,control,0.81572,0.44,0.05
AUC for Cl (0-inf),MRI - liver,mM*sec,control,0.8925,0.44,0.05
Liver T1-MOLLI at scan 2,MRI - liver,sec,control,0.8927,0.44,0.05
Hematocrit,MRI - liver,%,control,,,
Hematocrit,MRI - liver,%,drug,,,
