Biomarker,Units,p-value,Bayes Factor,Power
Organs extravascular mean transit time,min,0.01543,3.82,0.61
AUC for Cb (0-35min),mM*sec,0.15453,0.92,0.21
Cardiac output,L/min,0.22484,0.76,0.26
RE for R1b at 20min,%,0.23558,0.72,0.16
Heart-lung dispersion,%,0.27216,0.68,0.22
Organs blood mean transit time,sec,0.40024,0.57,0.15
Body extraction fraction,%,0.41498,0.55,0.12
AUC for Cb (0-inf),mM*sec,0.53138,0.5,0.08
Organs extraction fraction,%,0.55645,0.49,0.08
RE for Sb at 20min,%,0.69357,0.46,0.06
Heart-lung mean transit time,sec,0.84566,0.44,0.05
