group,parameter,unit,description,mean control,mean drug,mean effect,95%CI control,95%CI drug,95%CI effect
MRI - aorta,AUC35_Cb,mM*sec,AUC for Cb (0-35min),27.0,34.3,28.7,6.7,8.6,15.0
MRI - aorta,AUC_Cb,mM*sec,AUC for Cb (0-inf),48.9,73.8,64.1,14.0,27.0,55.0
MRI - aorta,CO,L/min,Cardiac output,6.4,6.99,16.3,1.7,0.88,17.0
MRI - aorta,Dhl,%,Heart-lung dispersion,46.8,45.4,0.468,6.3,8.6,25.0
MRI - aorta,Eb,%,Body extraction fraction,6.55,3.58,20.1,2.9,0.96,130.0
MRI - aorta,Eo,%,Organs extraction fraction,21.0,16.3,-18.1,5.4,2.7,13.0
MRI - aorta,RE_R1b,%,RE for R1b at 20min,15.2,21.6,46.6,3.8,5.8,29.0
MRI - aorta,RE_Sb,%,RE for Sb at 20min,14.2,21.3,208.0,5.2,6.7,330.0
MRI - aorta,Thl,sec,Heart-lung mean transit time,14.1,15.9,19.9,2.6,2.2,25.0
MRI - aorta,To,sec,Organs blood mean transit time,33.4,32.2,-2.86,5.4,11.0,29.0
MRI - aorta,Toe,min,Organs extravascular mean transit time,7.82,7.77,-1.96,1.9,2.8,26.0
MRI - liver,AUC35_Cl,mM*sec,AUC for Cl (0-35min),148.0,23.9,-83.4,30.0,4.0,1.8
MRI - liver,AUC_Cl,mM*sec,AUC for Cl (0-inf),589.0,134.0,-75.1,170.0,27.0,6.0
MRI - liver,CL,L/min,Liver blood clearance,0.304,0.0176,-93.8,0.058,0.0037,1.6
MRI - liver,De,%,Extracellular dispersion,78.3,67.8,-12.4,9.5,6.1,6.5
MRI - liver,H,%,Hematocrit,45.0,45.0,0.0,0.0,0.0,0.0
MRI - liver,Kbh,mL/min/100cm3,Biliary tissue excretion rate,2.68,0.665,-52.6,0.7,0.51,56.0
MRI - liver,Khe,mL/min/100cm3,Hepatocellular tissue uptake rate,276.0,10.1,-96.0,100.0,3.1,1.0
MRI - liver,RE_R1l,%,RE for R1l at 20min,63.6,8.82,-85.6,14.0,1.5,1.9
MRI - liver,RE_Sl,%,RE for Sl at 20min,52.9,7.45,-85.3,12.0,1.6,3.2
MRI - liver,T1_1,sec,Liver T1-MOLLI at baseline,0.795,0.805,1.27,0.037,0.041,2.7
MRI - liver,T1_2,sec,Liver T1-MOLLI at 45min,0.537,0.727,35.7,0.036,0.041,5.9
MRI - liver,Te,sec,Extracellular mean transit time,47.4,45.7,4.76,11.0,8.8,30.0
MRI - liver,Th,min,Hepatocellular mean transit time,54.7,402.0,1090.0,40.0,190.0,640.0
MRI - liver,kbh,mL/min/100cm3,Biliary excretion rate,2.28,0.534,-57.3,0.61,0.41,50.0
MRI - liver,khe,mL/min/100cm3,Hepatocellular uptake rate,34.2,1.9,-94.2,7.8,0.5,1.3
MRI - liver,ve,mL/100cm3,Liver extracellular volume fraction,14.4,19.6,63.5,5.0,3.0,55.0
