,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,BF10,odds-ratio,group,parameter,description
0,visit,control,drug,True,True,1.0878519073595765,2.0,two-sided,0.39029088673697443,0.693,9.37858046360399,MRI - aorta,CO,Cardiac output
0,visit,control,drug,True,True,0.15168610231113205,2.0,two-sided,0.8933534232588185,0.472,1.347501814493443,MRI - aorta,Thl,Heart-lung mean transit time
0,visit,control,drug,True,True,-0.5986170293741858,2.0,two-sided,0.6101965822273103,0.54,0.4850707889633642,MRI - aorta,Dhl,Heart-lung dispersion
0,visit,control,drug,True,True,0.5213327798551308,2.0,two-sided,0.6541154645990214,0.522,2.606266228206153,MRI - aorta,To,Organs blood mean transit time
0,visit,control,drug,True,True,-0.1388288581962982,2.0,two-sided,0.9023027849203038,0.471,0.7795424148441867,MRI - aorta,Eo,Organs extraction fraction
0,visit,control,drug,True,True,-0.0694768129792013,2.0,two-sided,0.9509316522884959,0.468,0.9627132135832616,MRI - aorta,Toe,Organs extravascular mean transit time
0,visit,control,drug,True,True,0.3034041518492288,2.0,two-sided,0.7902340148322142,0.486,1.3899692710267404,MRI - aorta,Eb,Body extraction fraction
0,visit,control,drug,True,True,-0.9233372130817771,2.0,two-sided,0.4533069108369955,0.634,0.36469862122062624,MRI - aorta,AUC_Cb,AUC for Cb (0-inf)
0,visit,control,drug,True,True,-2.0835672980158875,2.0,two-sided,0.17259145283916372,1.174,0.222209652976541,MRI - aorta,AUC35_Cb,AUC for Cb (0-35min)
0,visit,control,drug,True,True,-1.9154517315270398,2.0,two-sided,0.1955117696028839,1.083,0.23635232617425087,MRI - aorta,RE_R1b,RE for R1b at 20min
0,visit,control,drug,True,True,-0.9952631125911989,2.0,two-sided,0.42447728237541804,0.659,0.6534738090246037,MRI - aorta,RE_Sb,RE for Sb at 20min
0,visit,control,drug,True,True,,2.0,two-sided,,nan,,MRI - liver,H,Hematocrit
0,visit,control,drug,True,True,4.297406773588124,2.0,two-sided,0.05011311855179938,2.554,35.25513272740993,MRI - liver,ve,Liver extracellular volume fraction
0,visit,control,drug,True,True,1.6469169818330582,2.0,two-sided,0.24132878939171387,0.943,4.764101949370823,MRI - liver,Te,Extracellular mean transit time
0,visit,control,drug,True,True,2.7645248216241676,2.0,two-sided,0.10972644227899893,1.573,10.59832187412086,MRI - liver,De,Extracellular dispersion
0,visit,control,drug,True,True,1.192702784318691,2.0,two-sided,0.3552995532424369,0.735,3.702943579722584,MRI - liver,khe,Hepatocellular uptake rate
0,visit,control,drug,True,True,-0.4551388022514722,2.0,two-sided,0.6936430008186398,0.509,0.8022699811781978,MRI - liver,Th,Hepatocellular mean transit time
0,visit,control,drug,True,True,-1.9552388559213465,2.0,two-sided,0.1897333691378398,1.104,0.10992815654398051,MRI - liver,Kbh,Biliary tissue excretion rate
0,visit,control,drug,True,True,-0.6089007485511159,2.0,two-sided,0.6045398732137455,0.542,0.37317074271880024,MRI - liver,Khe,Hepatocellular tissue uptake rate
0,visit,control,drug,True,True,-1.993898101557973,2.0,two-sided,0.1843363216933316,1.125,0.09424272862443746,MRI - liver,kbh,Biliary excretion rate
0,visit,control,drug,True,True,1.2595358266809096,2.0,two-sided,0.33491168812849914,0.763,2.6275255452727575,MRI - liver,CL,Liver blood clearance
0,visit,control,drug,True,True,1.3537401102295563,2.0,two-sided,0.30850689638980444,0.804,2.5673107094028023,MRI - liver,AUC_Cl,AUC for Cl (0-inf)
0,visit,control,drug,True,True,1.768175309764262,2.0,two-sided,0.2190608125073709,1.005,5.227099533088842,MRI - liver,AUC35_Cl,AUC for Cl (0-35min)
0,visit,control,drug,True,True,1.947678349371118,2.0,two-sided,0.19081361051598106,1.1,8.694338732016332,MRI - liver,RE_R1l,RE for R1l at 20min
0,visit,control,drug,True,True,2.1793176958065867,2.0,two-sided,0.16114453647490937,1.228,15.245748756600552,MRI - liver,RE_Sl,RE for Sl at 20min
0,visit,control,drug,True,True,3.333069282857062,2.0,two-sided,0.07943650713800465,1.928,3.609405302935318,MRI - liver,T1_1,Liver T1-MOLLI at baseline
0,visit,control,drug,True,True,0.01816148556372804,2.0,two-sided,0.9871589492294399,0.467,1.012204061114621,MRI - liver,T1_2,Liver T1-MOLLI at 45min
