Biomarker,p-value,Bayes Factor,Odds Ratio
AUC for Cb (0-35min),0.17259,1.17,0.22
AUC for Cb (0-inf),0.45331,0.63,0.36
Body extraction fraction,0.79023,0.49,1.39
Cardiac output,0.39029,0.69,9.38
Heart-lung dispersion,0.6102,0.54,0.49
Heart-lung mean transit time,0.89335,0.47,1.35
Organs blood mean transit time,0.65412,0.52,2.61
Organs extraction fraction,0.9023,0.47,0.78
Organs extravascular mean transit time,0.95093,0.47,0.96
RE for R1b at 20min,0.19551,1.08,0.24
RE for Sb at 20min,0.42448,0.66,0.65
