Biomarker,Units,p-value,Bayes Factor,Power
Organs extravascular mean transit time,min,0.03168,3.39,0.58
Cardiac output,L/min,0.07676,1.9,0.47
Organs blood mean transit time,sec,0.10947,1.18,0.19
Organs extraction fraction,%,0.45093,0.63,0.11
Heart-lung dispersion,%,0.51351,0.59,0.08
Body extraction fraction,%,0.51984,0.61,0.19
RE for Sb at 20min,%,0.55072,0.58,0.11
RE for R1b at 20min,%,0.63761,0.56,0.09
AUC for Cb (0-inf),mM*sec,0.68467,0.54,0.07
AUC for Cb (0-35min),mM*sec,0.81335,0.52,0.06
Heart-lung mean transit time,sec,0.95915,0.51,0.05
