Biomarker,Units,control,drug,change (%)
AUC for Cl (0-35min),mM*sec,52.2 (27.0) ,34.8 (14.0) ,-26.7 (35.0) 
AUC for Cl (0-inf),mM*sec,387.0 (490.0) ,209.0 (240.0) ,-39.9 (37.0) 
Biliary excretion rate,mL/min/100cm3,1.03 (0.93) ,4.99 (4.8) ,278.0 (290.0) 
Biliary tissue excretion rate,mL/min/100cm3,1.46 (1.3) ,6.04 (5.9) ,225.0 (260.0) 
Extracellular dispersion,%,84.8 (5.4) ,76.4 (8.8) ,-9.96 (7.1) 
Extracellular mean transit time,sec,58.8 (2.4) ,54.9 (6.9) ,-6.83 (8.3) 
Hematocrit,%,45.0 (0.0) ,45.0 (0.0) ,0.0 (0.0) 
Hepatocellular mean transit time,min,173.0 (240.0) ,208.0 (380.0) ,-36.8 (80.0) 
Hepatocellular tissue uptake rate,mL/min/100cm3,20.0 (12.0) ,25.7 (12.0) ,84.3 (190.0) 
Hepatocellular uptake rate,mL/min/100cm3,6.92 (5.3) ,4.36 (2.1) ,-1.9 (97.0) 
Liver T1-MOLLI at 45min,sec,0.793 (0.14) ,0.793 (0.13) ,0.33 (10.0) 
Liver T1-MOLLI at baseline,sec,0.983 (0.12) ,0.916 (0.089) ,-6.57 (3.5) 
Liver blood clearance,L/min,0.0781 (0.07) ,0.0512 (0.04) ,3.97 (100.0) 
Liver extracellular volume fraction,mL/100cm3,31.7 (9.8) ,17.7 (5.9) ,-44.0 (11.0) 
RE for R1l at 20min,%,24.7 (12.0) ,15.2 (5.4) ,-31.9 (34.0) 
RE for Sl at 20min,%,19.8 (9.4) ,10.5 (3.2) ,-40.0 (33.0) 
