Biomarker,Units,control,drug,change (%)
AUC for Cl (0-35min),mM*sec,148.0 (31.0) ,25.8 (4.3) ,-81.9 (2.7) 
AUC for Cl (0-inf),mM*sec,510.0 (160.0) ,111.0 (21.0) ,-75.9 (4.9) 
Biliary excretion rate,mL/min/100cm3,2.3 (0.58) ,0.791 (0.34) ,-48.7 (42.0) 
Biliary tissue excretion rate,mL/min/100cm3,2.79 (0.72) ,1.01 (0.44) ,-44.3 (50.0) 
Extracellular dispersion,%,63.6 (20.0) ,70.4 (4.8) ,283.0 (550.0) 
Extracellular mean transit time,sec,35.8 (13.0) ,43.0 (7.7) ,148.0 (240.0) 
Final biliary excretion rate,mL/min/100cm3,2.83 (1.2) ,1.23 (0.59) ,-34.7 (48.0) 
Final hepatocellular uptake rate,mL/min/100cm3,29.3 (11.0) ,2.56 (0.72) ,-81.6 (22.0) 
Hematocrit,%,45.0 (0.0) ,45.0 (0.0) ,0.0 (0.0) 
Hepatocellular mean transit time,min,51.3 (36.0) ,141.0 (62.0) ,299.0 (190.0) 
Hepatocellular tissue uptake rate,mL/min/100cm3,728.0 (1000.0) ,10.7 (3.5) ,-93.4 (6.2) 
Hepatocellular uptake rate,mL/min/100cm3,30.6 (5.3) ,2.17 (0.59) ,-92.6 (2.5) 
Initial biliary excretion rate,mL/min/100cm3,2.35 (0.76) ,1.73 (1.8) ,-20.7 (58.0) 
Initial hepatocellular uptake rate,mL/min/100cm3,31.8 (6.3) ,1.78 (0.58) ,-94.2 (1.8) 
Liver T1-MOLLI at 45min,sec,0.537 (0.036) ,0.727 (0.041) ,35.7 (5.9) 
Liver T1-MOLLI at baseline,sec,0.795 (0.037) ,0.805 (0.041) ,1.27 (2.7) 
Liver T1-MOLLI at scan 2,sec,0.669 (0.041) ,0.759 (0.038) ,13.8 (6.3) 
Liver blood clearance,L/min,0.273 (0.032) ,0.0199 (0.0044) ,-92.3 (2.5) 
Liver extracellular volume fraction,mL/100cm3,16.1 (7.4) ,21.5 (3.3) ,264.0 (420.0) 
RE for R1l at 20min,%,64.0 (14.0) ,8.86 (1.5) ,-85.6 (1.9) 
RE for Sl at 20min,%,52.9 (12.0) ,6.54 (1.7) ,-87.5 (1.9) 
