Biomarker,Units,control,drug,change (%)
AUC for Cl (0-35min),mM*sec,148.0 (30.0) ,23.9 (4.0) ,-83.4 (1.8) 
AUC for Cl (0-inf),mM*sec,589.0 (170.0) ,134.0 (27.0) ,-75.1 (6.0) 
Biliary excretion rate,mL/min/100cm3,2.28 (0.61) ,0.534 (0.41) ,-57.3 (50.0) 
Biliary tissue excretion rate,mL/min/100cm3,2.68 (0.7) ,0.665 (0.51) ,-52.6 (56.0) 
Extracellular dispersion,%,78.3 (9.5) ,67.8 (6.1) ,-12.4 (6.5) 
Extracellular mean transit time,sec,47.4 (11.0) ,45.7 (8.8) ,4.76 (30.0) 
Hematocrit,%,45.0 (0.0) ,45.0 (0.0) ,0.0 (0.0) 
Hepatocellular mean transit time,min,54.7 (40.0) ,402.0 (190.0) ,1090.0 (640.0) 
Hepatocellular tissue uptake rate,mL/min/100cm3,276.0 (100.0) ,10.1 (3.1) ,-96.0 (1.0) 
Hepatocellular uptake rate,mL/min/100cm3,34.2 (7.8) ,1.9 (0.5) ,-94.2 (1.3) 
Liver T1-MOLLI at 45min,sec,0.537 (0.036) ,0.727 (0.041) ,35.7 (5.9) 
Liver T1-MOLLI at baseline,sec,0.795 (0.037) ,0.805 (0.041) ,1.27 (2.7) 
Liver blood clearance,L/min,0.304 (0.058) ,0.0176 (0.0037) ,-93.8 (1.6) 
Liver extracellular volume fraction,mL/100cm3,14.4 (5.0) ,19.6 (3.0) ,63.5 (55.0) 
RE for R1l at 20min,%,63.6 (14.0) ,8.82 (1.5) ,-85.6 (1.9) 
RE for Sl at 20min,%,52.9 (12.0) ,7.45 (1.6) ,-85.3 (3.2) 
