Biomarker,Units,control,drug,change (%)
AUC for Cl (0-35min),mM*sec,196.0 (51.0) ,66.0 (14.0) ,-65.0 (7.5) 
AUC for Cl (0-inf),mM*sec,892.0 (200.0) ,572.0 (140.0) ,-34.8 (14.0) 
Biliary excretion rate,mL/min/100cm3,2.17 (0.94) ,0.321 (0.21) ,-82.6 (14.0) 
Biliary tissue excretion rate,mL/min/100cm3,2.61 (1.0) ,0.435 (0.31) ,-81.0 (16.0) 
Extracellular dispersion,%,80.0 (11.0) ,76.6 (7.3) ,-2.26 (15.0) 
Extracellular mean transit time,sec,34.6 (10.0) ,41.7 (6.0) ,28.4 (25.0) 
Hematocrit,%,45.0 (0.0) ,45.0 (0.0) ,0.0 (0.0) 
Hepatocellular mean transit time,min,46.6 (17.0) ,395.0 (190.0) ,844.0 (500.0) 
Hepatocellular tissue uptake rate,mL/min/100cm3,215.0 (87.0) ,24.4 (6.1) ,-87.3 (3.7) 
Hepatocellular uptake rate,mL/min/100cm3,36.3 (9.9) ,6.07 (2.2) ,-83.0 (4.5) 
Liver T1-MOLLI at 45min,sec,0.469 (0.1) ,0.629 (0.075) ,40.3 (25.0) 
Liver T1-MOLLI at baseline,sec,0.734 (0.048) ,0.751 (0.028) ,2.68 (4.0) 
Liver blood clearance,L/min,0.295 (0.15) ,0.0578 (0.028) ,-78.0 (6.9) 
Liver extracellular volume fraction,mL/100cm3,17.9 (2.4) ,24.0 (3.8) ,39.7 (40.0) 
RE for R1l at 20min,%,75.7 (18.0) ,24.5 (5.1) ,-66.5 (7.0) 
RE for Sl at 20min,%,65.3 (15.0) ,21.4 (4.5) ,-66.5 (6.7) 
