Biomarker,Units,control,drug,change (%)
AUC for Cl (0-35min),mM*sec,181.0 (57.0) ,186.0 (26.0) ,25.9 (58.0) 
AUC for Cl (0-inf),mM*sec,774.0 (370.0) ,727.0 (100.0) ,49.5 (100.0) 
Biliary excretion rate,mL/min/100cm3,2.51 (1.0) ,2.7 (0.84) ,13.3 (25.0) 
Biliary tissue excretion rate,mL/min/100cm3,3.57 (1.4) ,3.52 (0.97) ,6.09 (24.0) 
Extracellular dispersion,%,85.5 (7.8) ,82.0 (9.3) ,-3.2 (13.0) 
Extracellular mean transit time,sec,33.4 (11.0) ,43.1 (8.5) ,39.6 (35.0) 
Hematocrit,%,45.0 (0.0) ,45.0 (0.0) ,0.0 (0.0) 
Hepatocellular mean transit time,min,33.8 (12.0) ,32.1 (11.0) ,0.599 (22.0) 
Hepatocellular tissue uptake rate,mL/min/100cm3,194.0 (95.0) ,202.0 (71.0) ,26.6 (55.0) 
Hepatocellular uptake rate,mL/min/100cm3,46.3 (7.9) ,44.1 (8.0) ,-2.2 (21.0) 
Liver T1-MOLLI at 45min,sec,0.445 (0.062) ,0.47 (0.098) ,5.58 (13.0) 
Liver T1-MOLLI at baseline,sec,0.761 (0.025) ,0.75 (0.023) ,-1.31 (3.5) 
Liver blood clearance,L/min,0.447 (0.072) ,0.428 (0.13) ,-4.58 (25.0) 
Liver extracellular volume fraction,mL/100cm3,29.1 (8.9) ,24.3 (6.7) ,-0.278 (54.0) 
RE for R1l at 20min,%,72.8 (23.0) ,74.1 (10.0) ,25.3 (57.0) 
RE for Sl at 20min,%,62.7 (21.0) ,65.2 (7.9) ,35.9 (76.0) 
