Biomarker,Units,control,drug,change (%)
AUC for Cb (0-35min),mM*sec,32.3 (6.5) ,44.4 (16.0) ,34.8 (28.0) 
AUC for Cb (0-inf),mM*sec,64.9 (9.0) ,99.6 (35.0) ,52.3 (42.0) 
Body extraction fraction,%,4.46 (1.5) ,2.98 (0.73) ,-24.2 (30.0) 
Cardiac output,L/min,7.65 (2.5) ,6.88 (2.0) ,-4.87 (25.0) 
Heart-lung dispersion,%,56.0 (17.0) ,57.1 (10.0) ,15.4 (36.0) 
Heart-lung mean transit time,sec,17.2 (3.1) ,16.8 (3.3) ,-1.38 (13.0) 
Organs blood mean transit time,sec,34.4 (7.0) ,36.1 (9.3) ,11.7 (39.0) 
Organs extraction fraction,%,19.0 (3.1) ,20.5 (5.0) ,8.08 (21.0) 
Organs extravascular mean transit time,min,8.61 (2.1) ,6.82 (2.4) ,-18.8 (29.0) 
RE for R1b at 20min,%,17.6 (2.3) ,25.5 (5.6) ,44.4 (18.0) 
RE for Sb at 20min,%,17.4 (6.2) ,22.7 (4.7) ,64.0 (76.0) 
