Biomarker,Units,control,drug,change (%)
AUC for Cb (0-35min),mM*sec,29.9 (7.8) ,37.6 (16.0) ,23.2 (26.0) 
AUC for Cb (0-inf),mM*sec,58.4 (29.0) ,58.3 (38.0) ,19.9 (86.0) 
Body extraction fraction,%,4.24 (3.4) ,4.97 (3.8) ,183.0 (450.0) 
Cardiac output,L/min,9.93 (1.0) ,10.1 (1.6) ,2.65 (27.0) 
Heart-lung dispersion,%,42.4 (14.0) ,43.2 (8.9) ,7.01 (33.0) 
Heart-lung mean transit time,sec,15.0 (2.5) ,14.7 (7.5) ,-1.44 (46.0) 
Organs blood mean transit time,sec,31.2 (0.58) ,23.5 (4.0) ,-24.5 (14.0) 
Organs extraction fraction,%,17.8 (0.85) ,16.5 (4.8) ,-7.38 (23.0) 
Organs extravascular mean transit time,min,6.38 (4.4) ,3.86 (1.5) ,-23.5 (51.0) 
RE for R1b at 20min,%,20.4 (6.4) ,27.1 (15.0) ,29.8 (44.0) 
RE for Sb at 20min,%,14.9 (3.9) ,26.1 (16.0) ,93.8 (160.0) 
