Biomarker,Units,control,drug,change (%)
AUC for Cb (0-35min),mM*sec,28.2 (6.3) ,35.2 (8.1) ,26.8 (16.0) 
AUC for Cb (0-inf),mM*sec,43.4 (14.0) ,67.9 (19.0) ,69.4 (42.0) 
Body extraction fraction,%,6.81 (2.6) ,3.46 (0.77) ,-41.1 (16.0) 
Cardiac output,L/min,7.27 (2.1) ,7.7 (1.2) ,17.8 (27.0) 
Heart-lung dispersion,%,43.6 (9.0) ,47.4 (8.0) ,10.7 (9.8) 
Heart-lung mean transit time,sec,13.5 (2.5) ,14.5 (2.5) ,11.9 (23.0) 
Organs blood mean transit time,sec,28.9 (6.7) ,30.8 (7.0) ,9.7 (20.0) 
Organs extraction fraction,%,19.0 (3.8) ,14.1 (3.2) ,-25.4 (12.0) 
Organs extravascular mean transit time,min,5.85 (1.5) ,6.72 (1.3) ,31.4 (48.0) 
RE for R1b at 20min,%,16.4 (4.2) ,22.9 (5.9) ,45.2 (28.0) 
RE for Sb at 20min,%,12.8 (5.5) ,20.2 (7.4) ,136.0 (130.0) 
