Biomarker,Units,control,drug,change (%)
AUC for Cl (0-35min),mM*sec,196.0 (42.0) ,86.0 (20.0) ,-55.7 (7.6) 
AUC for Cl (0-inf),mM*sec,706.0 (120.0) ,460.0 (180.0) ,-35.5 (22.0) 
Biliary excretion rate,mL/min/100cm3,2.15 (0.85) ,0.968 (0.61) ,-50.4 (29.0) 
Biliary tissue excretion rate,mL/min/100cm3,2.67 (1.0) ,1.4 (1.0) ,-44.8 (30.0) 
Extracellular dispersion,%,76.1 (13.0) ,74.3 (9.3) ,-0.755 (12.0) 
Extracellular mean transit time,sec,23.9 (4.0) ,32.3 (7.8) ,38.2 (38.0) 
Final biliary excretion rate,mL/min/100cm3,2.25 (0.78) ,1.7 (0.71) ,-24.4 (27.0) 
Final hepatocellular uptake rate,mL/min/100cm3,40.1 (12.0) ,19.9 (6.9) ,-50.8 (7.9) 
Hematocrit,%,45.0 (0.0) ,45.0 (0.0) ,0.0 (0.0) 
Hepatocellular mean transit time,min,44.1 (14.0) ,155.0 (110.0) ,319.0 (370.0) 
Hepatocellular tissue uptake rate,mL/min/100cm3,217.0 (98.0) ,49.0 (7.4) ,-73.9 (6.1) 
Hepatocellular uptake rate,mL/min/100cm3,38.8 (11.0) ,13.1 (5.0) ,-66.6 (5.7) 
Initial biliary excretion rate,mL/min/100cm3,2.11 (0.93) ,0.866 (0.57) ,-52.8 (31.0) 
Initial hepatocellular uptake rate,mL/min/100cm3,37.5 (11.0) ,6.42 (3.1) ,-83.1 (4.6) 
Liver T1-MOLLI at 45min,sec,0.469 (0.1) ,0.629 (0.075) ,40.3 (25.0) 
Liver T1-MOLLI at baseline,sec,0.734 (0.048) ,0.751 (0.028) ,2.68 (4.0) 
Liver T1-MOLLI at scan 2,sec,0.625 (0.055) ,0.623 (0.059) ,0.818 (13.0) 
Liver blood clearance,L/min,0.319 (0.17) ,0.125 (0.061) ,-54.6 (18.0) 
Liver extracellular volume fraction,mL/100cm3,19.6 (4.0) ,25.8 (6.3) ,46.0 (63.0) 
RE for R1l at 20min,%,76.0 (19.0) ,24.4 (5.0) ,-66.8 (7.1) 
RE for Sl at 20min,%,65.8 (12.0) ,22.3 (3.7) ,-65.7 (3.6) 
