Biomarker,Units,control,drug,change (%)
AUC for Cb (0-35min),mM*sec,31.4 (9.3) ,42.0 (18.0) ,31.6 (27.0) 
AUC for Cb (0-inf),mM*sec,73.3 (36.0) ,108.0 (94.0) ,47.8 (81.0) 
Body extraction fraction,%,3.26 (2.3) ,2.93 (1.7) ,6.71 (92.0) 
Cardiac output,L/min,9.6 (1.2) ,7.92 (1.8) ,-15.5 (30.0) 
Heart-lung dispersion,%,39.8 (11.0) ,44.3 (14.0) ,13.5 (36.0) 
Heart-lung mean transit time,sec,16.0 (7.5) ,15.1 (3.9) ,12.0 (76.0) 
Organs blood mean transit time,sec,31.1 (3.4) ,28.1 (8.3) ,-7.85 (34.0) 
Organs extraction fraction,%,21.2 (2.7) ,21.7 (4.7) ,3.77 (30.0) 
Organs extravascular mean transit time,min,6.05 (3.0) ,6.11 (3.4) ,-0.186 (35.0) 
RE for R1b at 20min,%,22.4 (7.9) ,31.2 (16.0) ,36.1 (36.0) 
RE for Sb at 20min,%,19.0 (7.9) ,21.0 (11.0) ,8.21 (21.0) 
