Biomarker,Units,control,drug,change (%)
AUC for Cb (0-35min),mM*sec,24.1 (6.4) ,28.6 (6.2) ,32.8 (49.0) 
AUC for Cb (0-inf),mM*sec,51.9 (21.0) ,58.6 (15.0) ,56.4 (100.0) 
Body extraction fraction,%,4.96 (2.2) ,4.44 (1.0) ,12.1 (43.0) 
Cardiac output,L/min,9.57 (3.4) ,8.49 (3.3) ,-11.2 (25.0) 
Heart-lung dispersion,%,54.1 (17.0) ,67.3 (13.0) ,30.3 (23.0) 
Heart-lung mean transit time,sec,19.6 (4.9) ,16.0 (3.5) ,-10.9 (34.0) 
Organs blood mean transit time,sec,33.9 (12.0) ,36.6 (7.4) ,22.2 (40.0) 
Organs extraction fraction,%,24.1 (11.0) ,22.9 (3.7) ,16.2 (44.0) 
Organs extravascular mean transit time,min,8.12 (2.9) ,6.77 (1.3) ,42.1 (140.0) 
RE for R1b at 20min,%,14.6 (4.4) ,16.9 (3.8) ,32.8 (54.0) 
RE for Sb at 20min,%,15.2 (8.1) ,15.4 (3.1) ,48.0 (81.0) 
