Biomarker,Units,control,drug,change (%)
AUC for Cb (0-35min),mM*sec,27.0 (6.7) ,34.3 (8.6) ,28.7 (15.0) 
AUC for Cb (0-inf),mM*sec,48.9 (14.0) ,73.8 (27.0) ,64.1 (55.0) 
Body extraction fraction,%,6.55 (2.9) ,3.58 (0.96) ,20.1 (130.0) 
Cardiac output,L/min,6.4 (1.7) ,6.99 (0.88) ,16.3 (17.0) 
Heart-lung dispersion,%,46.8 (6.3) ,45.4 (8.6) ,0.468 (25.0) 
Heart-lung mean transit time,sec,14.1 (2.6) ,15.9 (2.2) ,19.9 (25.0) 
Organs blood mean transit time,sec,33.4 (5.4) ,32.2 (11.0) ,-2.86 (29.0) 
Organs extraction fraction,%,21.0 (5.4) ,16.3 (2.7) ,-18.1 (13.0) 
Organs extravascular mean transit time,min,7.82 (1.9) ,7.77 (2.8) ,-1.96 (26.0) 
RE for R1b at 20min,%,15.2 (3.8) ,21.6 (5.8) ,46.6 (29.0) 
RE for Sb at 20min,%,14.2 (5.2) ,21.3 (6.7) ,208.0 (330.0) 
