Biomarker,Units,control,drug,change (%)
AUC for Cl (0-35min),mM*sec,192.0 (48.0) ,199.0 (29.0) ,14.3 (35.0) 
AUC for Cl (0-inf),mM*sec,681.0 (310.0) ,671.0 (120.0) ,47.4 (89.0) 
Biliary excretion rate,mL/min/100cm3,2.53 (0.79) ,2.78 (0.89) ,11.2 (19.0) 
Biliary tissue excretion rate,mL/min/100cm3,3.35 (0.98) ,3.25 (0.84) ,-0.0278 (19.0) 
Extracellular dispersion,%,74.9 (4.2) ,62.5 (17.0) ,-16.1 (24.0) 
Extracellular mean transit time,sec,23.8 (2.6) ,20.0 (8.4) ,-12.6 (41.0) 
Final biliary excretion rate,mL/min/100cm3,2.22 (0.54) ,2.62 (0.88) ,16.6 (24.0) 
Final hepatocellular uptake rate,mL/min/100cm3,62.2 (22.0) ,57.9 (11.0) ,1.59 (24.0) 
Hematocrit,%,45.0 (0.0) ,45.0 (0.0) ,0.0 (0.0) 
Hepatocellular mean transit time,min,33.3 (9.3) ,34.0 (9.7) ,4.63 (19.0) 
Hepatocellular tissue uptake rate,mL/min/100cm3,223.0 (43.0) ,598.0 (600.0) ,156.0 (240.0) 
Hepatocellular uptake rate,mL/min/100cm3,54.7 (7.4) ,50.7 (8.6) ,-7.34 (11.0) 
Initial biliary excretion rate,mL/min/100cm3,3.07 (1.4) ,2.99 (0.93) ,6.3 (29.0) 
Initial hepatocellular uptake rate,mL/min/100cm3,47.3 (12.0) ,43.6 (6.8) ,4.37 (42.0) 
Liver T1-MOLLI at 45min,sec,0.445 (0.062) ,0.47 (0.098) ,5.58 (13.0) 
Liver T1-MOLLI at baseline,sec,0.761 (0.025) ,0.75 (0.023) ,-1.31 (3.5) 
Liver T1-MOLLI at scan 2,sec,0.621 (0.076) ,0.568 (0.041) ,-5.77 (18.0) 
Liver blood clearance,L/min,0.538 (0.11) ,0.49 (0.14) ,-10.4 (12.0) 
Liver extracellular volume fraction,mL/100cm3,25.1 (2.6) ,16.1 (7.4) ,-36.3 (27.0) 
RE for R1l at 20min,%,72.0 (24.0) ,73.4 (10.0) ,27.3 (61.0) 
RE for Sl at 20min,%,61.7 (21.0) ,65.8 (9.4) ,36.2 (70.0) 
