Biomarker,Units,control,drug,change (%)
AUC for Cb (0-35min),mM*sec,23.6 (6.0) ,27.3 (5.9) ,26.0 (40.0) 
AUC for Cb (0-inf),mM*sec,44.4 (19.0) ,48.5 (13.0) ,46.0 (83.0) 
Body extraction fraction,%,5.44 (2.2) ,5.05 (1.2) ,19.4 (54.0) 
Cardiac output,L/min,10.5 (3.5) ,9.49 (3.2) ,-9.24 (15.0) 
Heart-lung dispersion,%,57.1 (14.0) ,48.9 (8.4) ,-8.09 (23.0) 
Heart-lung mean transit time,sec,15.0 (4.2) ,14.8 (3.7) ,9.95 (46.0) 
Organs blood mean transit time,sec,32.8 (9.8) ,28.1 (8.4) ,-10.2 (30.0) 
Organs extraction fraction,%,17.2 (2.1) ,19.1 (2.3) ,11.8 (11.0) 
Organs extravascular mean transit time,min,8.02 (0.89) ,6.93 (0.57) ,-12.6 (9.5) 
RE for R1b at 20min,%,14.2 (4.5) ,15.7 (3.4) ,29.5 (56.0) 
RE for Sb at 20min,%,13.2 (5.1) ,12.8 (3.9) ,20.5 (67.0) 
