Biomarker,Units,control,drug,change (%)
AUC for Cl (0-35min),mM*sec,54.3 (33.0) ,34.8 (15.0) ,-25.7 (44.0) 
AUC for Cl (0-inf),mM*sec,289.0 (420.0) ,86.7 (67.0) ,-36.7 (64.0) 
Biliary excretion rate,mL/min/100cm3,2.37 (2.0) ,4.36 (3.4) ,89.1 (51.0) 
Biliary tissue excretion rate,mL/min/100cm3,3.23 (2.4) ,5.52 (4.4) ,64.8 (51.0) 
Extracellular dispersion,%,84.6 (5.6) ,79.7 (8.3) ,-5.85 (3.9) 
Extracellular mean transit time,sec,52.4 (9.4) ,52.5 (7.4) ,1.02 (15.0) 
Final biliary excretion rate,mL/min/100cm3,3.38 (3.7) ,5.46 (0.78) ,593.0 (1100.0) 
Final hepatocellular uptake rate,mL/min/100cm3,11.1 (9.4) ,7.04 (8.8) ,-1.57 (90.0) 
Hematocrit,%,45.0 (0.0) ,45.0 (0.0) ,0.0 (0.0) 
Hepatocellular mean transit time,min,55.3 (64.0) ,37.7 (48.0) ,-36.5 (17.0) 
Hepatocellular tissue uptake rate,mL/min/100cm3,28.8 (16.0) ,28.1 (26.0) ,17.6 (97.0) 
Hepatocellular uptake rate,mL/min/100cm3,9.62 (7.0) ,5.4 (5.4) ,-25.2 (64.0) 
Initial biliary excretion rate,mL/min/100cm3,4.3 (2.6) ,4.47 (3.9) ,74.5 (220.0) 
Initial hepatocellular uptake rate,mL/min/100cm3,8.1 (6.9) ,3.77 (2.0) ,-39.5 (43.0) 
Liver T1-MOLLI at 45min,sec,0.793 (0.14) ,0.793 (0.13) ,0.33 (10.0) 
Liver T1-MOLLI at baseline,sec,0.983 (0.12) ,0.916 (0.089) ,-6.57 (3.5) 
Liver T1-MOLLI at scan 2,sec,0.807 (0.16) ,0.827 (0.11) ,3.25 (8.1) 
Liver blood clearance,L/min,0.107 (0.089) ,0.0677 (0.084) ,-20.0 (68.0) 
Liver extracellular volume fraction,mL/100cm3,30.6 (11.0) ,20.3 (6.8) ,-32.1 (16.0) 
RE for R1l at 20min,%,22.2 (10.0) ,14.0 (4.4) ,-28.8 (37.0) 
RE for Sl at 20min,%,18.9 (9.1) ,12.4 (2.0) ,-26.7 (30.0) 
