Biomarker,Units,control,drug,change (%)
AUC for Cb (0-35min),mM*sec,30.8 (5.9) ,42.2 (16.0) ,33.5 (27.0) 
AUC for Cb (0-inf),mM*sec,49.3 (8.7) ,77.7 (29.0) ,56.3 (45.0) 
Body extraction fraction,%,4.44 (0.88) ,4.0 (1.3) ,-9.97 (29.0) 
Cardiac output,L/min,9.69 (2.1) ,7.86 (3.1) ,-19.0 (25.0) 
Heart-lung dispersion,%,57.8 (18.0) ,47.2 (6.5) ,-7.61 (29.0) 
Heart-lung mean transit time,sec,11.1 (1.5) ,19.0 (4.6) ,76.6 (56.0) 
Organs blood mean transit time,sec,26.1 (5.7) ,28.4 (3.4) ,19.5 (43.0) 
Organs extraction fraction,%,16.2 (2.2) ,19.4 (3.0) ,21.2 (22.0) 
Organs extravascular mean transit time,min,6.27 (1.8) ,5.12 (1.1) ,-9.48 (29.0) 
RE for R1b at 20min,%,17.0 (2.2) ,24.1 (4.9) ,41.3 (17.0) 
RE for Sb at 20min,%,16.0 (5.3) ,21.2 (6.3) ,68.8 (100.0) 
